groupsize,approachfood,resetfoodconsistent,resizearena,mean.resets,median.resets,mean.depletes,median.depletes
3,false,false,false,3.3811177556293837,3,3.7399601328903653,3
3,false,false,true,3.3589900332225913,3,3.786421557770395,3
3,false,true,false,2.063078626799557,2,2.738465854558878,2
3,false,true,true,2.091280915466962,2,2.694325581395349,2
3,true,false,false,4.513151716500554,5,5.048440014765596,5
3,true,false,true,4.51458988556663,5,5.066849760059062,4
3,true,true,false,2.9696005906238465,3,4.077861941675895,4
3,true,true,true,2.981640457733481,3,4.04102473237357,4
6,false,false,false,2.1805861941675895,2,3.3643322259136212,3
6,false,false,true,2.1686142488002953,2,3.2937644887412327,2
6,false,true,false,2.5339357696566998,2,3.5426238464377997,3
6,false,true,true,2.493607973421927,2,3.6820878552971577,3
6,true,false,false,3.243942414174972,3,7.085858988556663,7
6,true,false,true,3.2387892211148026,3,7.110284237726098,7
6,true,true,false,3.7839616094499817,4,7.614863049095607,8
6,true,true,true,3.884730897009967,4,7.439409376153562,7
10,false,false,false,1.768422296050203,1,3.101838316722038,2
10,false,false,true,1.81946696197859,1,3.131029900332226,2
10,false,true,false,2.9525374677002585,2,4.438473237356958,3
10,false,true,true,2.8831539313399777,2,4.471179032853452,3
10,true,false,false,2.8781011443337023,3,8.098675526024364,8
10,true,false,true,2.8745426356589148,3,8.053726098191214,8
10,true,true,false,5.696448874123293,6,9.775613141380584,10
10,true,true,true,5.848832779623478,7,9.796556662975268,10
15,false,false,false,1.6332905131044666,1,2.720277593207826,1
15,false,false,true,1.5499180509413069,1,2.728744186046512,1
15,false,true,false,3.208744186046512,2,4.931785898855666,4
15,false,true,true,3.1847441860465118,2,4.842084902177925,3
15,true,false,false,2.751781469176818,3,8.494077519379845,8
15,true,false,true,2.732887412329273,3,8.47629088224437,8
15,true,true,false,7.218247323735696,8,11.095019564414914,11
15,true,true,true,7.178583979328165,8,11.09703949796973,11
20,false,false,false,1.5021602067183462,1,2.3823344407530453,1
20,false,false,true,1.5013658176448874,1,2.4085197489848653,1
20,false,true,false,3.547537836840162,2,5.032900701365818,3
20,false,true,true,3.4453067552602437,2,5.077929863418236,4
20,true,false,false,2.696342561830934,3,8.544770764119601,8
20,true,false,true,2.703314876338132,3,8.560888888888888,8
20,true,true,false,7.826702104097453,10,11.605070505721669,12
20,true,true,true,7.774780361757106,10,11.535252860834257,12
